Fiscal Year,Service,Department,Division,Position Number,Job Title,Total Salary
2020,Public Safety,Police,Patrol,P465-255,Police Officer,93835
2020,Public Safety,Police,Patrol,P465-256,Police Officer,81064
2020,Public Safety,Police,Patrol,P465-257,Police Officer,96781
2020,Public Safety,Police,Patrol,P465-258,Police Officer,93627
2020,Public Safety,Police,Patrol,P465-261,Police Officer,94520
2020,Public Safety,Police,Patrol,P465-263,Police Officer,93627
2020,Public Safety,Police,Patrol,P465-264,Police Officer,96506
2020,Public Safety,Police,Patrol,P465-266,Police Officer,94520
2020,Public Safety,Police,Patrol,P465-267,Police Officer,96096
2020,Public Safety,Police,Patrol,P465-270,Police Officer,81064
2020,Public Safety,Police,Patrol,P465-272,Police Officer,96096
2020,Public Safety,Police,Patrol,P465-278,Police Officer,93031
2020,Public Safety,Police,Patrol,P465-279,Police Officer,93627
2020,Public Safety,Police,Patrol,P465-280,Police Officer,96781
2020,Public Safety,Police,Patrol,P465-282,Police Officer,96484
2020,Public Safety,Police,Patrol,P465-283,Police Officer,95888
2020,Public Safety,Police,Patrol,P465-284,Police Officer,96781
2020,Public Safety,Police,Patrol,P465-285,Police Officer,93031
2020,Public Safety,Police,Patrol,P465-288,Police Officer,96781
2020,Public Safety,Police,Patrol,P465-290,Police Officer,94222
2020,Public Safety,Police,Patrol,P465-291,Police Officer,95293
2020,Public Safety,Police,Patrol,P465-292,Police Officer,95293
2020,Public Safety,Police,Patrol,P465-293,Police Officer,95293
2020,Public Safety,Police,Patrol,P465-294,Police Officer,94244
2020,Public Safety,Police,Patrol,P465-295,Police Officer,96484
2020,Public Safety,Police,Patrol,P465-296,Police Officer,96781
2020,Public Safety,Police,Patrol,P465-297,Police Officer,95072
2020,Public Safety,Police,Patrol,P465-298,Police Officer,96219
2020,Public Safety,Police,Patrol,P465-299,Police Officer,88340
2020,Public Safety,Police,Patrol,P465-300,Police Officer,89649
2020,Public Safety,Police,Patrol,P465-301,Police Officer,95072
2020,Public Safety,Police,Patrol,P465-302,Police Officer,81064
2020,Public Safety,Police,Patrol,S464-003,Police Sergeant,112241
2020,Public Safety,Police,Patrol,S464-004,Police Sergeant,109635
2020,Public Safety,Police,Patrol,S464-005,Police Sergeant,109984
2020,Public Safety,Police,Patrol,S464-008,Police Sergeant,112241
2020,Public Safety,Police,Patrol,S464-015,Police Sergeant,111892
2020,Public Safety,Police,Patrol,S464-016,Police Sergeant,110497
2020,Public Safety,Police,Patrol,S464-023,Police Sergeant,111892
2020,Public Safety,Police,Patrol,S464-024,Police Sergeant,112241
2020,Public Safety,Police,Patrol,S464-025,Police Sergeant,111892
2020,Public Safety,Police,Patrol,S464-028,Police Sergeant,111892
2020,Public Safety,Police,Patrol,S464-044,Police Sergeant,109635
2020,Public Safety,Police,Patrol,S464-047,Police Sergeant,111194
2020,Public Safety,Police,Patrol,S464-053,Police Sergeant,112241
2020,Public Safety,Police,Patrol,S464-054,Police Sergeant,112241
2020,Public Safety,Police,Patrol,S464-056,Police Sergeant,111892
2020,Public Safety,Police,Patrol,S464-057,Police Sergeant,112241
2020,Public Safety,Police,Patrol,S464-060,Police Sergeant,111892
2020,Public Safety,Police,Patrol,S464-165,Police Sergeant,109984
2020,Public Safety,Police,Patrol,S464-166,Police Sergeant,109984
2020,Public Safety,Police,Patrol,S464-167,Police Sergeant,109984
2020,Public Safety,Police,Patrol,C110-013,Sr Clerk & Typist,50378
2020,Public Safety,Police,Patrol,M492-702,Superintendent/Police,158682
2020,Public Safety,Police,"Planning, Budget & Personnel",M102-701,Dir.of Commun. & Media Rel.,111765
2020,Public Safety,Police,"Planning, Budget & Personnel",M133-001,"Dir/Plan, Budget, Personnel",119375
2020,Public Safety,Police,"Planning, Budget & Personnel",M275-702,Fiscal Affairs Analyst,61241
2020,Public Safety,Police,"Planning, Budget & Personnel",C192-701,Payroll Coordinator,60021
2020,Public Safety,Police,"Planning, Budget & Personnel",M181-003,Principal Personnel Analyst,85051
2020,Public Safety,Police,"Planning, Budget & Personnel",X024-001,Project Assistant,24700
2020,Public Safety,Police,"Planning, Budget & Personnel",C171-711,Sr Account Clerk,60411
2020,Public Safety,Police,Procedural Justice,M493-706,Deputy Superintendent/Pol,148223
2020,Public Safety,Police,Procedural Justice,M276-701,Procedural Justice Informatics,83409
2020,Public Safety,Police,Professional Standards,M210-701,Case Manager,39743
2020,Public Safety,Police,Professional Standards,M145-701,Chief of Professional Standard,132412
2020,Public Safety,Police,Professional Standards,S463-041,Police Lieutenant,128266
2020,Public Safety,Police,Professional Standards,S464-014,Police Sergeant,112241
2020,Public Safety,Police,Professional Standards,S464-062,Police Sergeant,112241
2020,Public Safety,Police,Special Investigations,P465-047,Police Officer,95888
2020,Public Safety,Police,Special Investigations,P465-049,Police Officer,96484
2020,Public Safety,Police,Special Investigations,P465-053,Police Officer,92558
2020,Public Safety,Police,Special Investigations,P465-078,Police Officer,95888
2020,Public Safety,Police,Special Investigations,P465-092,Police Officer,96484
2020,Public Safety,Police,Special Investigations,P465-098,Police Officer,96484
2020,Public Safety,Police,Special Investigations,P465-106,Police Officer,96096
2020,Public Safety,Police,Special Investigations,P465-142,Police Officer,96781
2020,Public Safety,Police,Special Investigations,S464-012,Police Sergeant,112241
2020,Public Safety,Police,Tactical Operations,P465-162,Police Officer,92558
2020,Public Safety,Police,Tactical Operations,P465-176,Police Officer,96484
2020,Public Safety,Police,Tactical Operations,P465-269,Police Officer,95888
2020,Public Safety,Police,Tactical Operations,P465-274,Police Officer,96096
2020,Public Safety,Police,Tactical Operations,S464-059,Police Sergeant,112241
2020,Public Safety,Police,Technical Services,M487-002,Crime Analyst III,71529
2020,Public Safety,Police,Technical Services,M309-701,Crime Analyst/Traffic.Police,52897
2020,Public Safety,Police,Technical Services,M490-701,Senior Crime Analyst,86554
2020,Public Safety,Police,Technical Services,M480-701,Strategic Analysis Coordinator,96098
2020,Public Safety,Police,Technical Services,A108-004,Student Intern/Police,30498
2020,Public Safety,Police,Traffic Enforcement,S463-034,Police Lieutenant,129195
2020,Public Safety,Police,Traffic Enforcement,P465-015,Police Officer,96484
2020,Public Safety,Police,Traffic Enforcement,P465-034,Police Officer,91873
2020,Public Safety,Police,Traffic Enforcement,P465-042,Police Officer,92558
2020,Public Safety,Police,Traffic Enforcement,P465-073,Police Officer,91069
2020,Public Safety,Police,Traffic Enforcement,P465-126,Police Officer,96484
2020,Public Safety,Police,Traffic Enforcement,P465-137,Police Officer,91069
2020,Public Safety,Police,Traffic Enforcement,P465-138,Police Officer,92261
2020,Public Safety,Police,Traffic Enforcement,P465-139,Police Officer,92558
2020,Public Safety,Police,Traffic Enforcement,P465-151,Police Officer,91665
2020,Public Safety,Police,Traffic Enforcement,P465-164,Police Officer,96484
2020,Public Safety,Police,Traffic Enforcement,P465-174,Police Officer,95293
2020,Public Safety,Police,Traffic Enforcement,P465-187,Police Officer,92558
2020,Public Safety,Police,Traffic Enforcement,P465-199,Police Officer,96484
2020,Public Safety,Police,Traffic Enforcement,P465-204,Police Officer,91873
2020,Public Safety,Police,Traffic Enforcement,P465-247,Police Officer,92558
2020,Public Safety,Police,Traffic Enforcement,P465-271,Police Officer,96484
2020,Public Safety,Police,Traffic Enforcement,P465-286,Police Officer,91069
2020,Public Safety,Police,Traffic Enforcement,S464-018,Police Sergeant,111892
2020,Public Safety,Police,Traffic Enforcement,S464-058,Police Sergeant,108037
2020,Public Safety,Police,Traffic Enforcement,T458-028,Traffic Supervisor B3785,10836
2020,Public Safety,Police,Traffic Enforcement,T458-039,Traffic Supervisor B3785,10836
2020,Public Safety,Police,Traffic Enforcement,T468-001,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-006,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-007,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-008,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-009,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-010,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-011,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-012,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-013,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-015,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-016,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-017,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-018,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-019,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-021,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-022,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-024,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-026,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-030,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-031,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-033,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-034,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-035,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-036,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-037,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-040,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-043,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-048,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-049,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-050,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-053,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-054,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-057,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-063,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-064,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-065,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-066,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-067,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-068,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-069,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-070,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-071,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-072,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-073,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-074,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-075,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-076,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Traffic Enforcement,T468-077,Traffic Supervisor/A3785,10278
2020,Public Safety,Police,Training,S463-021,Police Lieutenant,128791
2020,Public Safety,Police,Training,P465-019,Police Officer,96484
2020,Public Safety,Police,Training,P465-219,Police Officer,91873
2020,Public Safety,Police,Training,S464-168,Police Sergeant,108037
2020,Public Safety,Police,Training,S464-169,Police Sergeant,108038
2020,Public Safety,Police,Training,M072-001,Training Coordinator/Pol,69060
2020,Public Safety,"Traffic, Parking, & Transportation",Administration,M014-002,Admin Asst/Traffic,65808
2020,Public Safety,"Traffic, Parking, & Transportation",Administration,M064-001,Asst Dir. Parking Management,105962
2020,Public Safety,"Traffic, Parking, & Transportation",Administration,O036-701,"Dir/Traffic,Parking,Transporta",153290
2020,Public Safety,"Traffic, Parking, & Transportation",Administration,M120-701,Fiscal and  Admin. Mgr/Traffic,98211
2020,Public Safety,"Traffic, Parking, & Transportation",Administration,M209-701,Human Resources Mgr/Traffic,70216
2020,Public Safety,"Traffic, Parking, & Transportation",Administration,C610-001,Operational Foreperson,100800
2020,Public Safety,"Traffic, Parking, & Transportation",Administration,M094-701,Personnel Assistant/Traffic,39537
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,M140-001,Admin Hearings Officer/Tr,86571
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,C096-002,Administrative Asst/Traffic,48142
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,M871-701,Asst. Parking Srvc Mgr for Sys,86063
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,M545-001,Asst.Pkg Svc Mgr. for Oper.,75797
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,C470-001,Parking Control Off.Asst.Sup.,61406
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,C469-002,Parking Control Officer,50422
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,C469-003,Parking Control Officer,58054
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,C469-004,Parking Control Officer,57503
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,C469-005,Parking Control Officer,50434
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,C469-006,Parking Control Officer,58054
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,C469-009,Parking Control Officer,51837
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,C469-010,Parking Control Officer,44093
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,C469-011,Parking Control Officer,58054
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,C469-012,Parking Control Officer,58054
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,C469-013,Parking Control Officer,48929
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,C469-014,Parking Control Officer,46939
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,C469-015,Parking Control Officer,58054
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,C469-017,Parking Control Officer,58054
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,C469-018,Parking Control Officer,58054
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,C469-019,Parking Control Officer,58054
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,C469-020,Parking Control Officer,58002
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,C469-021,Parking Control Officer,46939
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,C469-022,Parking Control Officer,58054
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,C469-023,Parking Control Officer,58054
2020,Public Safety,"Traffic, Parking, & Transportation",Parking Management,C469-024,Parking Control Officer,44093
